name,empire,date,date_estimate,period,found_region_origin,found_city_modern,found_region_modern1,found_region_modern2,current_city,current_country,distance_from_origin(km),writing_material,media_material,form,script_type,script_direction,subject,subject_topic,source_url,description,img_src
Bronze Fāng Zūn Ritual Wine Container,China,1000 BCE,-1000,Western Zhou dynasty,Luoyang (China),Luoyang,China,East Asia,Washington D.C.,USA,11775.95,inscription,bronze,wine container,early Chinese,top_to_bottom,,political,https://commons.wikimedia.org/wiki/File:Western_Zhou_Ritual_Containers3.jpg,"A Chinese bronze 'fang zun' ritual wine container, from the Western Zhou Dynasty, dated c. 1000 BC, excavated in modern-day Luoyang. The written inscription cast in bronze on the vessel commemorates a gift of cowrie shells - currency in China at the time - to its owner from someone of presumed elite status in Zhou era society."
Dipylon inscription,Ancient Greece,740 BCE,-740,Geometrical Period,Classical Athens (Greece),Athens,Greece,Southeast Europe,Athens,Greece,0,inscription,clay,oenochoe (ancient Greek wine jug),archaic Greek (resembling Phoenician alphabet),right_to_left,,,https://en.wikipedia.org/wiki/Dipylon_inscription,"The Dipylon inscription is a short text written on an ancient Greek pottery vessel dated to c. 740 BC. It is famous for being the oldest, or one of the oldest, known samples of the use of the Greek alphabet. The text is scratched on an oenochoe, which was found in 1871 and is named after the location where it was found, the ancient Dipylon Cemetery, near the Dipylon Gate on the area of Kerameikos in Athens. <br/> The text marks the vessel as a prize in a dancing competition. It is translated as: 'whoever of the dancers now dances most lightly ...', and the second line is conjectured to have said something to the effect of '... he shall get this (vessel as his prize)'."
Glyph Block 8 from San Bartolo,Maya,300-200 BCE,-300,Pre-Columbian Maya,San Bartolo (Maya),Department of Petén,Guatemala,Central America,,,unknown,paint,stone,glyph block,early Mayan,top_to_bottom,,,https://www.science.org/doi/10.1126/science.1121745?ijkey=SvObjuiMMdrVY&keytype=ref&siteid=sci,"The ruins of San Bartolo, Guatemala, contain a sample of Maya hieroglyphic writing dating to the Late Preclassic period (400 B.C. to 200 A.D.). The writing appears on preserved painted walls and plaster fragments buried within the pyramidal structure known as “Las Pinturas,” which was constructed in discrete phases over several centuries. Samples of carbonized wood that are closely associated with the writing have calibrated radiocarbon dates of 200 to 300 B.C. This early Maya writing implies that a developed Maya writing system was in use centuries earlier than previously thought, approximating a time when we see the earliest scripts elsewhere in Mesoamerica.", https://davidmm.web.unc.edu/2020/12/12/note-11/
Rosetta Stone,Ancient Egypt,196 BCE,-196,Ptolemaic dynasty of Egypt,Rosetta (Egypt),Rasheed,Egypt,Africa,London,England,3390.92,inscription,granodiorite,stele,"Egyptian hieroglyph, Demotic script, and Greek script",mixed,,,https://en.wikipedia.org/wiki/Rosetta_Stone,The Rosetta Stone is a stele of granodiorite inscribed with three versions of a decree issued in 196 BC during the Ptolemaic dynasty of Egypt, on behalf of King Ptolemy V Epiphanes. The top and middle texts are in Ancient Egyptian using hieroglyphic and Demotic scripts, respectively, while the bottom is in Ancient Greek. The decree has only minor differences across the three versions, making the Rosetta Stone key to deciphering the Egyptian scripts. <br/>The stone was carved during the Hellenistic period and is believed to have originally been displayed within a temple, possibly at Sais. It was probably moved in late antiquity or during the Mamluk period, and was eventually used as building material in the construction of Fort Julien near the town of Rashid (Rosetta) in the Nile Delta. It was found there in July 1799 by French officer Pierre-François Bouchard during the Napoleonic campaign in Egypt. It was the first Ancient Egyptian bilingual text recovered in modern times, and it aroused widespread public interest with its potential to decipher this previously untranslated hieroglyphic script. Lithographic copies and plaster casts soon began circulating among European museums and scholars. When the British defeated the French, they took the stone to London under the terms of the Capitulation of Alexandria in 1801. Since 1802, it has been on public display at the British Museum almost continuously and it is the most visited object there."
Great Psalms Scroll (11Q5) (Part of Dead Sea Scrolls),Jewish,300 BCE - 0 BCE,-100,Second Temple period,Qumran Caves,Qumran,West Bank,Middle East,Jerusalem,Israel,80.70,ink,parchment,scroll,Biblical style Hebrew,right_to_left,,,https://en.wikipedia.org/wiki/Great_Psalms_Scroll,"The Great Psalms Scroll, also referred to as 11Q5, is the most substantial and well preserved manuscript of Psalms of the thirty-seven discovered among the Dead Sea Scrolls in the Qumran caves. It is one of six Psalms manuscripts discovered in Cave 11. <br/><br/>The Dead Sea Scrolls, also called the Qumran Caves Scrolls, are a set of ancient Jewish manuscripts from the Second Temple period. They were discovered over a period of 10 years, between 1946 and 1956, at the Qumran Caves near Ein Feshkha in the West Bank, on the northern shore of the Dead Sea. Dating from the 3rd century BCE to the 1st century CE,[1] the Dead Sea Scrolls include the oldest surviving manuscripts of entire books later included in the biblical canons, including deuterocanonical manuscripts from late Second Temple Judaism and extrabiblical books. At the same time, they cast new light on the emergence of Christianity and of Rabbinic Judaism.[2] Almost all of the 15,000 scrolls and scroll fragments are held in the Shrine of the Book at the Israel Museum located in Jerusalem. The Israeli government's custody of the Dead Sea Scrolls is disputed by Jordan and the Palestinian Authority on territorial, legal, and humanitarian grounds—they were mostly discovered following the Jordanian annexation of the West Bank and were acquired by Israel after Jordan lost the 1967 Arab–Israeli War[3]—whilst Israel's claims are primarily based on historical and religious grounds, given their significance in Jewish history and in the heritage of Judaism."
Fragmentary Buddhist text - Gandhara birchbark scrolls,Ancient Indo-Aryan civilization,100 CE,100,Gandhara,,Northern outskirts of Pakistan,Pakistan,South Asia,London,England,6661.17,ink,birch bark,,Ghandari,right_to_left,,,https://en.wikipedia.org/wiki/Gandh%C4%81ran_Buddhist_texts,"Fragmentary Buddhist text The manuscript is written on birchbark and is part of a group of early manuscripts from Gandhara (modern East Afghanistan/Noth-West Pakistan). <br/><br/>In 1994, the British Library acquired a group of some eighty Gandharan manuscript fragments from the first half of the 1st century CE, encompassing twenty‐seven birch‐bark scrolls.[9] These birch bark manuscripts were stored in clay jars, which preserved them. They are thought to have been found in western Pakistan, the location of Gandhara, buried in ancient monasteries. A team has been at work, trying to decipher the manuscripts: several volumes have appeared to date (see below). The manuscripts were written in the Gāndhārī language using the Kharoṣṭhī script and are therefore sometimes also called the Kharoṣṭhī Manuscripts. <br/><br/> The collection is composed of a diversity of texts: a Dhammapada, discourses of the Buddha such as the Rhinoceros Sutra, avadanas and Purvayogas, commentaries and abhidharma texts."
Svingerud Runestone (Svingerudsteinen),,1 and 250 CE,200,Roman Iron Age,Svingerud (Norway),Buskerud,Norway,Northern Europe,Oslo,Norway,101.52,inscription,sandstone,runestone,Runes,left_to_right,unknown,unknown,https://en.wikipedia.org/wiki/Svingerud_Runestone,"The Svingerud Runestone is a sandstone object featuring Elder Futhark inscriptions found in a grave west of Oslo, Norway. Radiocarbon dating indicates that the grave and the runestone date to between 1 and 250 CE, during the Roman Iron Age, making it the oldest datable runestone known in the world, and potentially the oldest known runic inscription. The discovery is additionally notable for the content of its inscriptions.<br/>The first three runes of the runic alphabet, ᚠ (f), ᚢ (u) and ᚦ (th), are found in one place on the stone, making this the earliest known occurrence of this sequence.<br/>Eight runes are more legible than its other inscriptions; transliterated into Roman letters they spell either idiberug or idiberun. According to Zilmer, ‘The text may refer to a woman called Idibera and the inscription could mean 'For Idibera'. Other possibilities are that idiberug is the rendering of a name such as Idibergu, or perhaps the kin name Idiberung. And there are other possible interpretations – as common with early runic inscriptions.’"
Diamond Sutra from Tang dynasty,China,868 CE,868,Tang Dynasty of China,Mogao Caves (China),Dunhuang,China,East Asia,London,England,8138.09,ink,paper,woodblock print,Chinese,right_to_left,Buddhism,religion,https://web.archive.org/web/20221208072014/http://idp.bl.uk/4DCGI/education/silk_road/pages/dun262a.html,"It is probably that this sutra, dated to 868 which makes it the earliest dated printed book in the world, was not printed in Dunhuang but in Sichuan, the southwest of China, where there was a thriving printing industry. It is clearly the product of a mature industry and it is believed that printing was invented in eighth-century China when someone experimented with carving a woodblock for a page of text rather than small Buddha stamps. Only a century after Wang Jie ordered the printing of this text Sichuan woodcarvers were employed to produce the first large-scale printing project in the world; the Buddhist Canon.",https://en.wikipedia.org/wiki/Woodblock_printing
Missal of Silos,Spain,1075 CE,1075,Islamic Spain / Middle Ages,Nájera (Spain),Nájera,Spain,Southwestern Europe,Santo Domingo de Silos,Spain,75.72,ink,paper,book (quarto),Mozarabic,left_to_right,Christianity,religion,https://en.wikipedia.org/wiki/Missal_of_Silos,"The Missal of Silos is the oldest known document on paper (as opposed to parchment) created in Europe; it dates to before 1080 AD.The manuscript was written on quarto; it comprises 157 folios, of which folios 1 to 37 are on paper and the rest are on parchment. Strictly speaking, it is not a missal: It has been described as a breviary-missal. It can also be described as a Liber Mysticus or Breviarum gothicum.<br/> The missal is ‘Codex 6’ held in the library of the Monastery of Santo Domingo de Silos near Burgos, Spain. While the codex is named after its long-term home in Silos, it was not made at the Silos monastery's scriptorium; it was made at the monastery of Santa María la Real of Nájera. The paper for the missal is believed to have been manufactured in Muslim-ruled territory (Al-Andalus), even though Nájera was in Christian territory at the time the document was created<br/>The manuscript relates to the Mozarabic rite. This was suppressed in 1080 by Pope Gregory VII (something which helps date the manuscript).However, the monastic library continued to hold a collection of liturgical manuscripts of the rite until the 19th century when some were sold.", https://www.labrujulaverde.com/en/2020/05/the-missal-of-silos-the-oldest-european-book-made-of-paper/
Jikji,Korea,1377 CE,1377,Goryeo Dynasty,Cheongju (Korea),Cheongju,Korea,East Asia,Paris,France,9077.05,ink,paper,book,Chinese,top_to_bottom,Buddhism,religion,https://en.wikipedia.org/wiki/Jikji,"Jikji (Korean: 직지심체요절) is the abbreviated title of a Korean Buddhist document whose title can be translated to ‘Anthology of Great Buddhist Priests' Zen Teachings’. Printed during the Goryeo Dynasty in 1377, it is the world's oldest extant book printed with movable metal type. UNESCO confirmed Jikji as the world's oldest metalloid type in September 2001 and includes it in the Memory of the World Programme.<br/>Jikji was published in Heungdeok Temple in 1377, 78 years prior to Johannes Gutenberg's acclaimed "42-Line Bible" printed during the years 1452–1455.[3][4] The greater part of the Jikji is now lost; today only the last volume survives, and is kept at the Manuscrits Orientaux division of the National Library of France (BnF). The BnF has hosted a digital copy online. <br/>Jikji Simche means ‘If you look at a person's heart correctly through the Zen meditation, you will realize that the nature of the heart is the heart of Buddha’."
